Datum;Column2
18830401;0
18830402;0
18830403;0
18830404;0
18830405;0
18830406;0
18830407;0
18830408;0
18830409;0
18830410;4
18830411;0
18830412;2
18830413;1
18830414;0
18830415;0
18830416;0
18830417;0
18830418;0
18830419;1
18830420;1
18830421;0
18830422;0
18830423;44
18830424;2
18830425;0
18830426;0
18830427;0
18830428;0
18830429;0
18830430;0
18830501;0
18830502;0
18830503;0
18830504;0
18830505;0
18830506;0
18830507;0
18830508;15
18830509;44
18830510;108
18830511;14
18830512;0
18830513;38
18830514;0
18830515;8
18830516;0
18830517;0
18830518;0
18830519;3
18830520;0
18830521;0
18830522;0
18830523;0
18830524;0
18830525;0
18830526;0
18830527;41
18830528;1
18830529;0
18830530;4
18830531;0
18830601;0
18830602;42
18830603;0
18830604;0
18830605;0
18830606;0
18830607;0
18830608;15
18830609;0
18830610;0
18830611;0
18830612;0
18830613;0
18830614;0
18830615;2
18830616;2
18830617;75
18830618;2
18830619;1
18830620;0
18830621;40
18830622;212
18830623;0
18830624;2
18830625;0
18830626;65
18830627;16
18830628;0
18830629;0
18830630;0
18830701;0
18830702;0
18830703;1
18830704;0
18830705;5
18830706;0
18830707;0
18830708;0
18830709;3
18830710;0
18830711;0
18830712;30
18830713;35
18830714;0
18830715;21
18830716;66
18830717;57
18830718;95
18830719;57
18830720;50
18830721;67
18830722;51
18830723;150
18830724;105
18830725;27
18830726;136
18830727;51
18830728;0
18830729;5
18830730;0
18830731;45
18830801;54
18830802;9
18830803;0
18830804;5
18830805;0
18830806;49
18830807;41
18830808;0
18830809;65
18830810;6
18830811;31
18830812;17
18830813;0
18830814;0
18830815;40
18830816;148
18830817;2
18830818;8
18830819;3
18830820;0
18830821;0
18830822;1
18830823;12
18830824;2
18830825;0
18830826;0
18830827;0
18830828;3
18830829;2
18830830;7
18830831;7
18830901;5
18830902;7
18830903;97
18830904;7
18830905;17
18830906;3
18830907;47
18830908;27
18830909;91
18830910;2
18830911;0
18830912;0
18830913;0
18830914;0
18830915;2
18830916;1
18830917;2
18830918;2
18830919;2
18830920;0
18830921;27
18830922;99
18830923;49
18830924;0
18830925;55
18830926;0
18830927;32
18830928;132
18830929;47
18830930;0
18831001;4
18831002;1
18831003;73
18831004;230
18831005;124
18831006;7
18831007;5
18831008;37
18831009;1
18831010;0
18831011;0
18831012;5
18831013;0
18831014;0
18831015;4
18831016;14
18831017;19
18831018;29
18831019;16
18831020;131
18831021;11
18831022;16
18831023;0
18831024;13
18831025;39
18831026;3
18831027;0
18831028;0
18831029;0
18831030;0
18831031;0
18831101;0
18831102;0
18831103;0
18831104;0
18831105;55
18831106;85
18831107;61
18831108;8
18831109;26
18831110;103
18831111;32
18831112;12
18831113;28
18831114;1
18831115;0
18831116;10
18831117;2
18831118;81
18831119;5
18831120;35
18831121;29
18831122;21
18831123;5
18831124;0
18831125;41
18831126;39
18831127;9
18831128;0
18831129;2
18831130;0
18831201;40
18831202;18
18831203;22
18831204;63
18831205;27
18831206;30
18831207;5
18831208;0
18831209;0
18831210;0
18831211;67
18831212;35
18831213;6
18831214;3
18831215;3
18831216;76
18831217;10
18831218;7
18831219;12
18831220;74
18831221;12
18831222;0
18831223;6
18831224;0
18831225;0
18831226;0
18831227;7
18831228;2
18831229;1
18831230;0
18831231;0
18840101;0
18840102;0
18840103;0
18840104;17
18840105;22
18840106;45
18840107;0
18840108;0
18840109;2
18840110;0
18840111;0
18840112;23
18840113;32
18840114;0
18840115;8
18840116;5
18840117;7
18840118;0
18840119;0
18840120;0
18840121;0
18840122;0
18840123;80
18840124;117
18840125;16
18840126;60
18840127;45
18840128;25
18840129;12
18840130;10
18840131;15
18840201;82
18840202;21
18840203;2
18840204;1
18840205;1
18840206;0
18840207;0
18840208;0
18840209;0
18840210;5
18840211;0
18840212;7
18840213;0
18840214;0
18840215;0
18840216;0
18840217;0
18840218;0
18840219;0
18840220;16
18840221;2
18840222;22
18840223;40
18840224;37
18840225;20
18840226;13
18840227;2
18840228;0
18840229;0
18840301;0
18840302;23
18840303;65
18840304;0
18840305;0
18840306;2
18840307;4
18840308;2
18840309;30
18840310;12
18840311;100
18840312;27
18840313;7
18840314;0
18840315;0
18840316;0
18840317;0
18840318;0
18840319;0
18840320;0
18840321;11
18840322;25
18840323;7
18840324;4
18840325;0
18840326;0
18840327;0
18840328;0
18840329;0
18840330;0
18840331;0
18840401;0
18840402;0
18840403;0
18840404;0
18840405;0
18840406;32
18840407;0
18840408;32
18840409;3
18840410;27
18840411;41
18840412;0
18840413;5
18840414;17
18840415;3
18840416;0
18840417;0
18840418;0
18840419;0
18840420;0
18840421;0
18840422;0
18840423;0
18840424;0
18840425;0
18840426;7
18840427;1
18840428;15
18840429;0
18840430;4
18840501;0
18840502;62
18840503;57
18840504;52
18840505;4
18840506;11
18840507;29
18840508;0
18840509;1
18840510;0
18840511;0
18840512;0
18840513;28
18840514;1
18840515;0
18840516;27
18840517;3
18840518;11
18840519;0
18840520;72
18840521;0
18840522;0
18840523;0
18840524;0
18840525;0
18840526;0
18840527;0
18840528;0
18840529;0
18840530;0
18840531;0
18840601;0
18840602;0
18840603;0
18840604;0
18840605;0
18840606;83
18840607;35
18840608;43
18840609;0
18840610;10
18840611;0
18840612;0
18840613;0
18840614;0
18840615;0
18840616;22
18840617;53
18840618;0
18840619;0
18840620;3
18840621;0
18840622;0
18840623;0
18840624;0
18840625;4
18840626;5
18840627;0
18840628;0
18840629;0
18840630;0
18840701;0
18840702;0
18840703;29
18840704;0
18840705;2
18840706;115
18840707;0
18840708;0
18840709;0
18840710;10
18840711;53
18840712;17
18840713;25
18840714;33
18840715;72
18840716;0
18840717;7
18840718;20
18840719;13
18840720;15
18840721;8
18840722;85
18840723;0
18840724;357
18840725;25
18840726;2
18840727;5
18840728;50
18840729;0
18840730;35
18840731;0
18840801;0
18840802;0
18840803;0
18840804;0
18840805;0
18840806;0
18840807;0
18840808;0
18840809;0
18840810;0
18840811;0
18840812;0
18840813;0
18840814;0
18840815;0
18840816;0
18840817;0
18840818;0
18840819;0
18840820;0
18840821;0
18840822;0
18840823;0
18840824;0
18840825;0
18840826;60
18840827;12
18840828;15
18840829;220
18840830;84
18840831;20
18840901;30
18840902;2
18840903;20
18840904;87
18840905;31
18840906;46
18840907;53
18840908;36
18840909;22
18840910;0
18840911;0
18840912;0
18840913;0
18840914;0
18840915;0
18840916;0
18840917;0
18840918;0
18840919;0
18840920;0
18840921;0
18840922;0
18840923;174
18840924;0
18840925;45
18840926;0
18840927;0
18840928;10
18840929;0
18840930;0
18841001;0
18841002;12
18841003;18
18841004;72
18841005;38
18841006;0
18841007;1
18841008;2
18841009;0
18841010;3
18841011;190
18841012;35
18841013;82
18841014;41
18841015;25
18841016;7
18841017;2
18841018;0
18841019;2
18841020;6
18841021;0
18841022;0
18841023;0
18841024;0
18841025;0
18841026;12
18841027;87
18841028;51
18841029;30
18841030;13
18841031;0
18841101;0
18841102;1
18841103;0
18841104;24
18841105;2
18841106;0
18841107;20
18841108;25
18841109;0
18841110;0
18841111;2
18841112;0
18841113;0
18841114;0
18841115;0
18841116;0
18841117;10
18841118;10
18841119;0
18841120;20
18841121;85
18841122;20
18841123;30
18841124;0
18841125;15
18841126;5
18841127;29
18841128;30
18841129;68
18841130;25
18841201;10
18841202;0
18841203;20
18841204;52
18841205;27
18841206;17
18841207;15
18841208;25
18841209;47
18841210;65
18841211;25
18841212;14
18841213;2
18841214;0
18841215;30
18841216;37
18841217;0
18841218;59
18841219;15
18841220;43
18841221;90
18841222;7
18841223;0
18841224;0
18841225;0
18841226;0
18841227;0
18841228;0
18841229;0
18841230;0
18841231;0
18850101;0
18850102;0
18850103;0
18850104;0
18850105;0
18850106;52
18850107;0
18850108;0
18850109;0
18850110;0
18850111;200
18850112;90
18850113;35
